Complaint_Text,Category,Sentiment,Priority,Village,Date,Pincode,lang
Electricity supply is irregular in our area.,Electricity,Neutral,Low,Supa,2024-01-16,413109,en
शाळेची इमारत खराब झाली आहे.,Electricity,Negative,Medium,Supa,2024-05-20,413109,mr
वीज पुरवठा अनियमित आहे.,Electricity,Positive,Low,Someshwar,2025-08-04,412306,mr
Electricity supply is irregular in our area.,Health,Neutral,Medium,Katphal,2024-06-20,413111,en
Electricity supply is irregular in our area.,Health,Neutral,Medium,Malegaon,2024-09-10,413115,en
Electricity supply is irregular in our area.,Water,Negative,High,Someshwar,2024-07-21,412306,en
School building is damaged and unsafe.,Water,Negative,High,Nimbut,2024-09-15,413110,en
Road conditions are very poor and dangerous.,Education,Negative,High,Nimbut,2024-04-15,413110,en
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Neutral,Medium,Pandare,2025-05-26,413103,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Road,Neutral,High,Nimbut,2025-06-10,413110,mr
School building is damaged and unsafe.,Sanitation,Negative,Low,Malegaon,2024-08-11,413115,en
वीज पुरवठा अनियमित आहे.,Water,Negative,High,Malegaon,2025-05-18,413115,mr
Road conditions are very poor and dangerous.,Sanitation,Negative,High,Malegaon,2025-04-06,413115,en
Sanitation facilities are not adequate in the village.,Sanitation,Neutral,Low,Katphal,2025-02-27,413111,en
Sanitation facilities are not adequate in the village.,Health,Negative,Low,Morgaon,2024-10-23,413304,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Road,Neutral,High,Baramati,2025-01-05,413102,mr
Electricity supply is irregular in our area.,Road,Neutral,Medium,Morgaon,2025-08-04,413304,en
शाळेची इमारत खराब झाली आहे.,Health,Neutral,Medium,Baramati,2025-06-18,413102,mr
Medicines are not available at the PHC.,Road,Negative,Medium,Someshwar,2025-04-14,412306,en
Road conditions are very poor and dangerous.,Road,Positive,Low,Morgaon,2025-03-28,413304,en
Sanitation facilities are not adequate in the village.,Health,Neutral,Medium,Katphal,2024-06-27,413111,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Education,Positive,High,Morgaon,2025-01-08,413304,mr
वीज पुरवठा अनियमित आहे.,Sanitation,Positive,Medium,Someshwar,2024-07-15,412306,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Road,Negative,High,Morgaon,2025-06-10,413304,mr
Electricity supply is irregular in our area.,Education,Negative,Medium,Nimbut,2024-04-18,413110,en
Sanitation facilities are not adequate in the village.,Road,Neutral,Low,Morgaon,2025-04-08,413304,en
School building is damaged and unsafe.,Education,Positive,Medium,Morgaon,2025-06-15,413304,en
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Negative,High,Katphal,2024-09-17,413111,mr
Road conditions are very poor and dangerous.,Education,Positive,Medium,Morgaon,2024-08-23,413304,en
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Positive,Medium,Baramati,2024-06-13,413102,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Education,Positive,High,Someshwar,2024-03-15,412306,mr
वीज पुरवठा अनियमित आहे.,Sanitation,Negative,High,Morgaon,2025-07-13,413304,mr
शाळेची इमारत खराब झाली आहे.,Health,Positive,Medium,Katphal,2025-06-08,413111,mr
वीज पुरवठा अनियमित आहे.,Sanitation,Negative,Low,Malegaon,2025-03-16,413115,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Neutral,Low,Pandare,2025-07-11,413103,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Positive,High,Nimbut,2024-06-06,413110,mr
School building is damaged and unsafe.,Sanitation,Positive,Medium,Morgaon,2025-06-24,413304,en
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Negative,Medium,Baramati,2024-11-25,413102,mr
शाळेची इमारत खराब झाली आहे.,Road,Positive,High,Baramati,2024-12-20,413102,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Water,Neutral,High,Someshwar,2024-04-12,412306,mr
वीज पुरवठा अनियमित आहे.,Road,Negative,Medium,Someshwar,2025-04-11,412306,mr
School building is damaged and unsafe.,Sanitation,Positive,High,Nimbut,2025-05-18,413110,en
वीज पुरवठा अनियमित आहे.,Education,Neutral,High,Malegaon,2024-09-22,413115,mr
शाळेची इमारत खराब झाली आहे.,Education,Neutral,Low,Katphal,2024-08-31,413111,mr
Electricity supply is irregular in our area.,Water,Neutral,High,Pandare,2024-12-08,413103,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Road,Neutral,High,Nimbut,2025-05-30,413110,mr
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Health,Neutral,High,Nimbut,2025-07-02,413110,mr
Electricity supply is irregular in our area.,Water,Positive,High,Someshwar,2025-02-20,412306,en
School building is damaged and unsafe.,Water,Negative,Medium,Katphal,2025-05-22,413111,en
वीज पुरवठा अनियमित आहे.,Road,Positive,High,Malegaon,2024-06-18,413115,mr
Medicines are not available at the PHC.,Education,Positive,Low,Supa,2025-01-24,413109,en
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Neutral,Medium,Someshwar,2024-07-20,412306,mr
Electricity supply is irregular in our area.,Sanitation,Positive,High,Pandare,2025-01-07,413103,en
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Negative,High,Morgaon,2025-01-21,413304,mr
No water supply in the village since several days.,Road,Negative,Low,Nimbut,2024-03-03,413110,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Sanitation,Neutral,Low,Someshwar,2024-04-01,412306,mr
Medicines are not available at the PHC.,Electricity,Positive,Medium,Someshwar,2025-07-15,412306,en
No water supply in the village since several days.,Education,Negative,Medium,Katphal,2025-09-16,413111,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Negative,High,Katphal,2024-05-18,413111,mr
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Education,Neutral,High,Baramati,2025-05-10,413102,mr
Road conditions are very poor and dangerous.,Water,Negative,Low,Morgaon,2024-03-16,413304,en
School building is damaged and unsafe.,Road,Negative,Medium,Supa,2025-01-31,413109,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Education,Positive,High,Someshwar,2024-04-12,412306,mr
शाळेची इमारत खराब झाली आहे.,Road,Positive,Low,Nimbut,2024-11-09,413110,mr
School building is damaged and unsafe.,Sanitation,Neutral,Medium,Supa,2024-01-14,413109,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Education,Neutral,Low,Pandare,2025-07-15,413103,mr
वीज पुरवठा अनियमित आहे.,Road,Negative,High,Nimbut,2024-03-21,413110,mr
School building is damaged and unsafe.,Sanitation,Positive,Medium,Malegaon,2025-06-26,413115,en
Electricity supply is irregular in our area.,Road,Positive,Low,Malegaon,2024-09-08,413115,en
Road conditions are very poor and dangerous.,Water,Neutral,Low,Malegaon,2025-06-01,413115,en
शाळेची इमारत खराब झाली आहे.,Health,Neutral,Low,Pandare,2024-04-20,413103,mr
शाळेची इमारत खराब झाली आहे.,Water,Positive,High,Morgaon,2024-02-13,413304,mr
No water supply in the village since several days.,Road,Neutral,Low,Baramati,2024-02-18,413102,en
शाळेची इमारत खराब झाली आहे.,Water,Neutral,Low,Katphal,2024-06-20,413111,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Negative,Medium,Pandare,2024-11-28,413103,mr
शाळेची इमारत खराब झाली आहे.,Sanitation,Positive,Medium,Baramati,2024-07-31,413102,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Education,Positive,Low,Baramati,2024-03-01,413102,mr
शाळेची इमारत खराब झाली आहे.,Road,Positive,Medium,Supa,2025-07-14,413109,mr
वीज पुरवठा अनियमित आहे.,Water,Neutral,Low,Nimbut,2025-03-27,413110,mr
Electricity supply is irregular in our area.,Electricity,Negative,High,Baramati,2024-07-17,413102,en
वीज पुरवठा अनियमित आहे.,Health,Negative,High,Someshwar,2025-03-09,412306,mr
Road conditions are very poor and dangerous.,Water,Positive,Low,Someshwar,2024-04-26,412306,en
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Neutral,High,Baramati,2024-12-09,413102,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Neutral,Medium,Nimbut,2024-03-18,413110,mr
Road conditions are very poor and dangerous.,Health,Negative,Low,Someshwar,2024-01-12,412306,en
वीज पुरवठा अनियमित आहे.,Health,Positive,Low,Someshwar,2025-04-13,412306,mr
No water supply in the village since several days.,Electricity,Positive,High,Malegaon,2024-04-07,413115,en
Road conditions are very poor and dangerous.,Health,Positive,Low,Baramati,2025-06-08,413102,en
Road conditions are very poor and dangerous.,Electricity,Positive,Medium,Baramati,2024-02-05,413102,en
School building is damaged and unsafe.,Road,Neutral,Medium,Supa,2024-04-29,413109,en
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Neutral,Medium,Malegaon,2024-03-16,413115,mr
Sanitation facilities are not adequate in the village.,Education,Neutral,High,Pandare,2024-09-23,413103,en
शाळेची इमारत खराब झाली आहे.,Health,Neutral,Medium,Katphal,2025-01-28,413111,mr
Electricity supply is irregular in our area.,Road,Negative,Low,Malegaon,2025-03-09,413115,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Health,Positive,Low,Pandare,2024-04-18,413103,mr
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Health,Positive,Medium,Baramati,2025-06-10,413102,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Road,Negative,Low,Baramati,2024-02-22,413102,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Negative,High,Nimbut,2024-09-11,413110,mr
Electricity supply is irregular in our area.,Sanitation,Negative,Low,Supa,2025-05-31,413109,en
Medicines are not available at the PHC.,Health,Positive,Medium,Katphal,2025-06-18,413111,en
No water supply in the village since several days.,Sanitation,Positive,High,Pandare,2025-03-12,413103,en
शाळेची इमारत खराब झाली आहे.,Sanitation,Negative,Low,Supa,2025-08-08,413109,mr
No water supply in the village since several days.,Electricity,Positive,High,Morgaon,2024-08-02,413304,en
Road conditions are very poor and dangerous.,Education,Positive,Low,Someshwar,2025-06-27,412306,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Water,Positive,Low,Supa,2025-03-08,413109,mr
शाळेची इमारत खराब झाली आहे.,Water,Positive,High,Baramati,2024-01-22,413102,mr
Medicines are not available at the PHC.,Education,Positive,High,Nimbut,2025-09-12,413110,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Sanitation,Negative,Medium,Katphal,2024-09-03,413111,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Education,Neutral,High,Supa,2024-01-11,413109,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Health,Neutral,High,Baramati,2025-02-08,413102,mr
Road conditions are very poor and dangerous.,Road,Neutral,Medium,Someshwar,2025-06-25,412306,en
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Positive,Medium,Someshwar,2024-01-13,412306,mr
वीज पुरवठा अनियमित आहे.,Water,Neutral,Medium,Nimbut,2024-05-18,413110,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Sanitation,Negative,Low,Baramati,2025-09-05,413102,mr
Medicines are not available at the PHC.,Road,Positive,High,Someshwar,2025-04-24,412306,en
Sanitation facilities are not adequate in the village.,Road,Neutral,Medium,Someshwar,2025-08-21,412306,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Health,Negative,Medium,Katphal,2024-11-13,413111,mr
Electricity supply is irregular in our area.,Health,Neutral,Medium,Nimbut,2025-07-16,413110,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Education,Positive,High,Malegaon,2024-11-12,413115,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Health,Positive,Medium,Supa,2025-01-21,413109,mr
शाळेची इमारत खराब झाली आहे.,Water,Positive,Medium,Someshwar,2025-05-15,412306,mr
School building is damaged and unsafe.,Health,Positive,Low,Baramati,2025-08-12,413102,en
शाळेची इमारत खराब झाली आहे.,Sanitation,Negative,High,Morgaon,2025-06-06,413304,mr
Medicines are not available at the PHC.,Sanitation,Positive,High,Pandare,2024-04-06,413103,en
No water supply in the village since several days.,Sanitation,Negative,High,Katphal,2024-09-26,413111,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Sanitation,Negative,High,Someshwar,2024-02-14,412306,mr
शाळेची इमारत खराब झाली आहे.,Education,Negative,Low,Supa,2025-06-03,413109,mr
Medicines are not available at the PHC.,Sanitation,Negative,Low,Morgaon,2024-09-01,413304,en
Road conditions are very poor and dangerous.,Health,Neutral,High,Pandare,2025-08-13,413103,en
वीज पुरवठा अनियमित आहे.,Road,Neutral,Medium,Malegaon,2024-05-05,413115,mr
Medicines are not available at the PHC.,Electricity,Negative,Low,Baramati,2024-05-17,413102,en
शाळेची इमारत खराब झाली आहे.,Electricity,Positive,Medium,Katphal,2024-01-20,413111,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Water,Neutral,Medium,Nimbut,2024-06-24,413110,mr
वीज पुरवठा अनियमित आहे.,Education,Negative,Low,Nimbut,2024-12-09,413110,mr
School building is damaged and unsafe.,Road,Neutral,High,Pandare,2024-05-13,413103,en
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Neutral,Medium,Someshwar,2024-02-17,412306,mr
शाळेची इमारत खराब झाली आहे.,Sanitation,Neutral,Low,Malegaon,2025-02-06,413115,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Education,Positive,Medium,Pandare,2024-07-09,413103,mr
Electricity supply is irregular in our area.,Sanitation,Negative,Medium,Supa,2024-02-28,413109,en
वीज पुरवठा अनियमित आहे.,Education,Positive,Low,Supa,2025-02-09,413109,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Road,Positive,Low,Someshwar,2024-05-23,412306,mr
शाळेची इमारत खराब झाली आहे.,Electricity,Positive,Low,Someshwar,2025-07-29,412306,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Sanitation,Negative,Low,Malegaon,2024-10-29,413115,mr
No water supply in the village since several days.,Sanitation,Negative,Medium,Malegaon,2024-08-26,413115,en
School building is damaged and unsafe.,Road,Neutral,Low,Nimbut,2024-09-11,413110,en
Medicines are not available at the PHC.,Sanitation,Negative,Low,Someshwar,2025-04-27,412306,en
Medicines are not available at the PHC.,Sanitation,Positive,High,Nimbut,2024-01-15,413110,en
Road conditions are very poor and dangerous.,Sanitation,Positive,Medium,Malegaon,2024-12-27,413115,en
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Positive,Low,Pandare,2024-07-02,413103,mr
वीज पुरवठा अनियमित आहे.,Sanitation,Neutral,Low,Malegaon,2025-07-29,413115,mr
Road conditions are very poor and dangerous.,Education,Negative,Medium,Katphal,2025-07-19,413111,en
Electricity supply is irregular in our area.,Health,Negative,Low,Katphal,2024-11-21,413111,en
शाळेची इमारत खराब झाली आहे.,Education,Positive,High,Supa,2024-04-25,413109,mr
वीज पुरवठा अनियमित आहे.,Sanitation,Positive,Low,Pandare,2025-01-05,413103,mr
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Education,Neutral,Low,Supa,2024-11-27,413109,mr
Road conditions are very poor and dangerous.,Electricity,Neutral,High,Morgaon,2025-09-02,413304,en
Sanitation facilities are not adequate in the village.,Road,Negative,Medium,Supa,2024-04-07,413109,en
Road conditions are very poor and dangerous.,Education,Positive,Low,Katphal,2025-04-22,413111,en
शाळेची इमारत खराब झाली आहे.,Electricity,Neutral,Medium,Baramati,2025-09-12,413102,mr
शाळेची इमारत खराब झाली आहे.,Water,Neutral,Medium,Someshwar,2024-07-05,412306,mr
शाळेची इमारत खराब झाली आहे.,Water,Negative,High,Malegaon,2024-01-31,413115,mr
Electricity supply is irregular in our area.,Education,Neutral,Low,Someshwar,2024-12-25,412306,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Water,Negative,High,Supa,2024-03-10,413109,mr
Electricity supply is irregular in our area.,Sanitation,Negative,Low,Pandare,2024-10-18,413103,en
Road conditions are very poor and dangerous.,Water,Negative,High,Morgaon,2024-03-25,413304,en
Electricity supply is irregular in our area.,Sanitation,Neutral,Medium,Someshwar,2024-04-29,412306,en
Electricity supply is irregular in our area.,Sanitation,Negative,High,Nimbut,2024-10-09,413110,en
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Neutral,High,Supa,2024-09-26,413109,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Water,Positive,Low,Katphal,2024-11-26,413111,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Negative,Medium,Nimbut,2025-09-16,413110,mr
Medicines are not available at the PHC.,Road,Negative,High,Supa,2025-03-18,413109,en
शाळेची इमारत खराब झाली आहे.,Water,Positive,Medium,Someshwar,2024-02-04,412306,mr
वीज पुरवठा अनियमित आहे.,Sanitation,Negative,Medium,Pandare,2025-08-14,413103,mr
वीज पुरवठा अनियमित आहे.,Water,Negative,Medium,Supa,2025-08-29,413109,mr
Road conditions are very poor and dangerous.,Road,Positive,Medium,Someshwar,2025-03-17,412306,en
Electricity supply is irregular in our area.,Water,Neutral,High,Malegaon,2024-07-25,413115,en
Electricity supply is irregular in our area.,Road,Negative,Medium,Nimbut,2024-07-20,413110,en
वीज पुरवठा अनियमित आहे.,Sanitation,Negative,Medium,Supa,2024-06-16,413109,mr
वीज पुरवठा अनियमित आहे.,Education,Neutral,Medium,Malegaon,2024-07-11,413115,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Sanitation,Negative,Medium,Nimbut,2025-09-09,413110,mr
Sanitation facilities are not adequate in the village.,Sanitation,Neutral,Low,Katphal,2024-07-10,413111,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Health,Neutral,Medium,Someshwar,2025-06-19,412306,mr
Electricity supply is irregular in our area.,Water,Negative,High,Baramati,2024-09-14,413102,en
No water supply in the village since several days.,Water,Negative,Low,Morgaon,2024-07-06,413304,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Water,Negative,High,Pandare,2024-03-14,413103,mr
वीज पुरवठा अनियमित आहे.,Education,Neutral,Medium,Supa,2024-08-05,413109,mr
No water supply in the village since several days.,Electricity,Positive,Low,Malegaon,2025-03-27,413115,en
Road conditions are very poor and dangerous.,Sanitation,Negative,Low,Katphal,2024-11-25,413111,en
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Negative,Low,Baramati,2024-01-30,413102,mr
Sanitation facilities are not adequate in the village.,Health,Positive,Medium,Morgaon,2025-08-29,413304,en
Sanitation facilities are not adequate in the village.,Water,Positive,High,Pandare,2025-06-06,413103,en
Sanitation facilities are not adequate in the village.,Sanitation,Positive,High,Baramati,2024-11-07,413102,en
No water supply in the village since several days.,Water,Positive,Low,Katphal,2024-12-19,413111,en
Medicines are not available at the PHC.,Sanitation,Positive,Low,Pandare,2024-02-27,413103,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Water,Neutral,High,Baramati,2024-09-07,413102,mr
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Sanitation,Positive,High,Morgaon,2024-04-02,413304,mr
गावातील स्वच्छता सुविधा अपुरी आहेत.,Health,Positive,Low,Morgaon,2024-04-20,413304,mr
Medicines are not available at the PHC.,Road,Negative,Low,Baramati,2024-06-20,413102,en
No water supply in the village since several days.,Sanitation,Neutral,Low,Supa,2025-09-02,413109,en
Road conditions are very poor and dangerous.,Education,Positive,High,Supa,2024-05-27,413109,en
School building is damaged and unsafe.,Road,Positive,High,Baramati,2024-11-04,413102,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Electricity,Neutral,Low,Pandare,2025-08-15,413103,mr
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Education,Neutral,High,Malegaon,2025-03-24,413115,mr
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Health,Negative,Medium,Nimbut,2024-12-06,413110,mr
Road conditions are very poor and dangerous.,Electricity,Negative,Low,Nimbut,2024-10-05,413110,en
Sanitation facilities are not adequate in the village.,Education,Negative,Medium,Baramati,2024-08-17,413102,en
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Negative,Medium,Nimbut,2024-06-09,413110,mr
Electricity supply is irregular in our area.,Health,Neutral,Low,Pandare,2024-07-03,413103,en
Medicines are not available at the PHC.,Education,Neutral,Medium,Supa,2024-09-03,413109,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Neutral,Low,Baramati,2025-04-15,413102,mr
No water supply in the village since several days.,Health,Positive,Low,Someshwar,2025-07-12,412306,en
Sanitation facilities are not adequate in the village.,Road,Neutral,Low,Pandare,2024-03-20,413103,en
रस्त्याची स्थिती अतिशय खराब आहे.,Electricity,Negative,High,Katphal,2025-02-26,413111,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Sanitation,Positive,High,Morgaon,2024-10-12,413304,mr
School building is damaged and unsafe.,Electricity,Negative,Medium,Nimbut,2025-06-13,413110,en
Sanitation facilities are not adequate in the village.,Sanitation,Neutral,Low,Baramati,2024-01-26,413102,en
Road conditions are very poor and dangerous.,Road,Positive,High,Baramati,2024-11-25,413102,en
Road conditions are very poor and dangerous.,Health,Neutral,Low,Morgaon,2025-05-07,413304,en
रस्त्याची स्थिती अतिशय खराब आहे.,Education,Negative,Low,Pandare,2025-02-16,413103,mr
Road conditions are very poor and dangerous.,Health,Neutral,Low,Katphal,2024-10-14,413111,en
Sanitation facilities are not adequate in the village.,Electricity,Negative,Low,Pandare,2024-04-08,413103,en
No water supply in the village since several days.,Sanitation,Negative,Medium,Pandare,2025-07-02,413103,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Sanitation,Positive,High,Supa,2024-02-15,413109,mr
School building is damaged and unsafe.,Sanitation,Neutral,Low,Katphal,2025-01-10,413111,en
No water supply in the village since several days.,Sanitation,Positive,High,Pandare,2024-03-02,413103,en
No water supply in the village since several days.,Water,Negative,Low,Supa,2024-12-05,413109,en
शाळेची इमारत खराब झाली आहे.,Education,Neutral,Low,Someshwar,2025-01-16,412306,mr
No water supply in the village since several days.,Electricity,Negative,Medium,Baramati,2025-03-12,413102,en
शाळेची इमारत खराब झाली आहे.,Water,Neutral,Low,Nimbut,2024-05-02,413110,mr
Road conditions are very poor and dangerous.,Sanitation,Negative,Low,Baramati,2025-03-12,413102,en
Road conditions are very poor and dangerous.,Electricity,Positive,Low,Pandare,2024-11-21,413103,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Positive,Low,Malegaon,2024-11-12,413115,mr
Road conditions are very poor and dangerous.,Electricity,Negative,Low,Pandare,2024-06-21,413103,en
No water supply in the village since several days.,Road,Positive,Medium,Nimbut,2024-08-02,413110,en
No water supply in the village since several days.,Electricity,Positive,Medium,Morgaon,2025-05-26,413304,en
Sanitation facilities are not adequate in the village.,Water,Negative,Low,Nimbut,2024-05-30,413110,en
शाळेची इमारत खराब झाली आहे.,Health,Neutral,Medium,Pandare,2024-11-19,413103,mr
School building is damaged and unsafe.,Electricity,Negative,Low,Nimbut,2025-02-02,413110,en
Electricity supply is irregular in our area.,Sanitation,Negative,Medium,Supa,2024-04-26,413109,en
Electricity supply is irregular in our area.,Road,Neutral,Medium,Pandare,2024-12-26,413103,en
Medicines are not available at the PHC.,Water,Positive,Medium,Morgaon,2024-06-06,413304,en
वीज पुरवठा अनियमित आहे.,Water,Neutral,High,Nimbut,2025-07-20,413110,mr
No water supply in the village since several days.,Electricity,Positive,High,Someshwar,2024-12-19,412306,en
Medicines are not available at the PHC.,Health,Positive,Low,Someshwar,2024-12-06,412306,en
Road conditions are very poor and dangerous.,Education,Positive,High,Katphal,2025-09-14,413111,en
Electricity supply is irregular in our area.,Health,Negative,High,Katphal,2025-07-06,413111,en
शाळेची इमारत खराब झाली आहे.,Road,Positive,Medium,Pandare,2024-07-09,413103,mr
शाळेची इमारत खराब झाली आहे.,Road,Negative,Low,Katphal,2024-08-27,413111,mr
रस्त्याची स्थिती अतिशय खराब आहे.,Health,Neutral,Low,Katphal,2024-08-12,413111,mr
शाळेची इमारत खराब झाली आहे.,Health,Neutral,High,Nimbut,2025-02-21,413110,mr
Road conditions are very poor and dangerous.,Education,Neutral,Medium,Pandare,2025-01-04,413103,en
शाळेची इमारत खराब झाली आहे.,Health,Neutral,High,Nimbut,2025-08-18,413110,mr
शाळेची इमारत खराब झाली आहे.,Education,Positive,Low,Supa,2025-05-25,413109,mr
School building is damaged and unsafe.,Health,Positive,High,Baramati,2024-11-25,413102,en
वीज पुरवठा अनियमित आहे.,Health,Neutral,Medium,Nimbut,2024-11-10,413110,mr
No water supply in the village since several days.,Road,Positive,Low,Malegaon,2025-09-01,413115,en
Electricity supply is irregular in our area.,Road,Positive,Medium,Malegaon,2025-09-09,413115,en
Sanitation facilities are not adequate in the village.,Road,Positive,High,Someshwar,2024-04-21,412306,en
Medicines are not available at the PHC.,Sanitation,Negative,Medium,Someshwar,2024-05-04,412306,en
Medicines are not available at the PHC.,Sanitation,Positive,Low,Morgaon,2024-07-12,413304,en
रस्त्याची स्थिती अतिशय खराब आहे.,Education,Neutral,Medium,Morgaon,2024-01-14,413304,mr
School building is damaged and unsafe.,Education,Positive,High,Baramati,2024-12-25,413102,en
Road conditions are very poor and dangerous.,Education,Negative,High,Baramati,2024-11-22,413102,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Negative,High,Morgaon,2025-04-01,413304,mr
शाळेची इमारत खराब झाली आहे.,Health,Positive,High,Someshwar,2025-01-06,412306,mr
Electricity supply is irregular in our area.,Electricity,Neutral,High,Malegaon,2025-05-14,413115,en
वीज पुरवठा अनियमित आहे.,Education,Neutral,Low,Pandare,2024-11-28,413103,mr
Sanitation facilities are not adequate in the village.,Electricity,Neutral,High,Supa,2024-04-28,413109,en
School building is damaged and unsafe.,Health,Neutral,Medium,Supa,2024-08-08,413109,en
No water supply in the village since several days.,Electricity,Positive,Low,Someshwar,2024-04-20,412306,en
Electricity supply is irregular in our area.,Education,Negative,Low,Nimbut,2024-02-16,413110,en
गावात पाणी पुरवठा काही दिवसांपासून नाही.,Electricity,Negative,High,Nimbut,2024-01-10,413110,mr
School building is damaged and unsafe.,Health,Positive,Low,Someshwar,2024-08-04,412306,en
Sanitation facilities are not adequate in the village.,Electricity,Neutral,High,Baramati,2025-01-26,413102,en
गावातील स्वच्छता सुविधा अपुरी आहेत.,Health,Neutral,Medium,Baramati,2024-03-05,413102,mr
No water supply in the village since several days.,Electricity,Positive,High,Pandare,2024-02-11,413103,en
Sanitation facilities are not adequate in the village.,Sanitation,Positive,High,Malegaon,2025-05-15,413115,en
Electricity supply is irregular in our area.,Health,Positive,Low,Baramati,2024-03-09,413102,en
Medicines are not available at the PHC.,Education,Negative,Medium,Someshwar,2025-06-06,412306,en
वीज पुरवठा अनियमित आहे.,Health,Positive,High,Morgaon,2025-06-21,413304,mr
No water supply in the village since several days.,Road,Negative,Low,Someshwar,2024-03-31,412306,en
रस्त्याची स्थिती अतिशय खराब आहे.,Education,Neutral,High,Someshwar,2024-01-06,412306,mr
Sanitation facilities are not adequate in the village.,Water,Neutral,High,Katphal,2024-10-25,413111,en
Medicines are not available at the PHC.,Road,Neutral,Medium,Someshwar,2025-01-16,412306,en
Electricity supply is irregular in our area.,Road,Positive,Low,Baramati,2024-06-13,413102,en
School building is damaged and unsafe.,Road,Positive,High,Someshwar,2024-10-16,412306,en
No water supply in the village since several days.,Health,Negative,High,Baramati,2024-10-05,413102,en
शाळेची इमारत खराब झाली आहे.,Health,Neutral,Medium,Katphal,2024-10-31,413111,mr
Medicines are not available at the PHC.,Health,Neutral,Low,Nimbut,2025-01-19,413110,en
School building is damaged and unsafe.,Education,Positive,High,Katphal,2024-05-03,413111,en
वीज पुरवठा अनियमित आहे.,Education,Negative,High,Katphal,2024-08-04,413111,mr
No water supply in the village since several days.,Electricity,Negative,Low,Pandare,2025-03-23,413103,en
